status,shannon_entropy,abnormal_subdomains,first_digit_position,url_length,digit_count,subdomain_count,common_terms_count,special_chars_count,relative_entropy
legitimate,3.787042812031905,False,-1,37,0,0,3,7,1.2216032858299195
phishing,4.419864470453802,False,32,77,17,0,2,7,0.7926746153641194
phishing,4.753412094896157,True,62,126,19,2,4,19,1.1178122325987816
legitimate,3.461320140211008,False,-1,18,0,0,1,5,1.919763136654139
legitimate,4.097662278358699,False,-1,55,0,0,3,10,1.7786138097138138
phishing,3.666530173029465,False,-1,32,0,1,2,8,1.7674317934216566
legitimate,3.260828171224455,False,-1,19,0,0,2,5,2.465576186231271
phishing,4.771112319170577,False,36,81,21,0,3,8,0.7926746153641194
legitimate,4.195539744052798,True,-1,42,0,0,2,6,0.8312228517705365
legitimate,4.481455590414628,False,19,104,8,0,3,18,1.9214692850748376
legitimate,4.344566583470219,False,-1,56,0,0,3,9,0.7562159301445607
legitimate,4.286275219617123,False,34,43,8,0,4,9,2.04287391805526
legitimate,4.281211648465453,False,34,83,1,0,3,15,1.7075842017537204
phishing,3.8488846166291193,False,19,31,2,0,1,6,2.5804746130596428
legitimate,3.753269689515108,False,-1,25,0,0,4,6,1.9194343821482216
phishing,4.444401999165797,False,35,51,1,0,1,10,3.060938493903999
legitimate,3.7843684875968617,False,-1,31,0,0,4,6,1.6764926034347265
phishing,4.174177320667443,False,39,50,3,0,2,8,2.021262416074956
phishing,4.079678649882975,False,-1,34,0,0,3,7,0.7236142072640073
legitimate,4.032303242743954,False,11,27,4,0,3,6,0.7617358154306321
legitimate,4.075590044566195,False,-1,63,0,0,2,13,2.292445728743364
legitimate,4.2980550138102505,False,-1,66,0,0,3,11,2.1882820143015387
phishing,4.393942707918268,False,28,40,4,0,2,8,1.6668967102665213
legitimate,4.1551876989901,False,-1,48,0,0,2,9,1.090130248516721
phishing,4.710764845058316,True,63,126,12,2,3,18,1.1178122325987816
phishing,4.064392248309453,False,-1,41,0,0,3,6,0.6714587387460264
legitimate,4.141604167868593,False,-1,36,0,0,4,6,1.0439608677445484
legitimate,4.187132212342207,False,-1,72,0,0,4,15,1.0825244931239704
phishing,4.552115370751692,True,53,68,11,2,3,9,1.2725729281618978
phishing,4.803363778168904,False,31,163,65,0,2,23,1.6347520531570168
legitimate,3.921029621737614,False,-1,26,0,0,3,6,1.595745454109582
phishing,4.591578664259099,False,34,64,22,0,2,7,2.6441239177269207
phishing,4.239097917988785,False,9,36,9,2,2,8,0.6147250745951163
phishing,4.0864177725789865,False,-1,61,0,0,4,10,1.91731989700583
legitimate,4.951379490761219,False,45,66,14,0,3,9,1.728611735768823
legitimate,4.068728288980287,False,-1,35,0,0,3,6,0.4530541908537994
phishing,4.421436190177326,False,-1,113,0,0,4,19,1.1294216328130542
legitimate,3.646845529315216,True,-1,41,0,0,2,9,2.64568459891236
legitimate,3.642489673166127,False,-1,23,0,0,3,7,2.785712982590444
legitimate,4.039211536948156,False,-1,31,0,0,2,6,1.6643702429892293
phishing,4.23580353402117,False,-1,84,0,0,2,12,0.8040209171632111
phishing,4.047299098426644,False,-1,29,0,0,2,6,3.691691906091184
phishing,4.825204589986269,False,53,98,29,0,2,14,0.8674750171639447
legitimate,3.189898095464287,False,-1,15,0,0,1,4,2.4577130240635308
legitimate,4.308766613255314,False,-1,65,0,0,2,11,3.5599643735302924
phishing,5.242899292283031,False,92,131,4,0,3,19,1.5496750195671096
