status,url_length,digit_count,shannon_entropy,relative_entropy,vowel_consonant_ratio,first_digit_position,contains_ip,special_chars_count,contains_port,subdomain_count,common_terms_count,contains_underscore,contains_dash,is_shortened,abnormal_subdomains
legitimate,37,0,3.787042812031905,1.2216032858299195,0.36363636363636365,-1,False,7,False,0,3,False,False,False,False
phishing,77,17,4.419864470453802,0.7926746153641194,0.8275862068965517,32,False,7,False,0,2,False,False,False,False
phishing,126,19,4.753412094896157,1.1178122325987816,0.5172413793103449,62,False,19,False,2,4,True,True,False,True
legitimate,18,0,3.461320140211008,1.919763136654139,0.3,-1,False,5,False,0,1,False,False,False,False
legitimate,55,0,4.097662278358699,1.7786138097138138,0.36363636363636365,-1,False,10,False,0,3,False,True,False,False
phishing,32,0,3.6665301730294653,1.7674317934216566,0.5,-1,False,8,False,1,2,False,True,False,False
legitimate,19,0,3.260828171224455,2.465576186231271,0.4,-1,False,5,False,0,2,False,False,False,False
phishing,81,21,4.771112319170577,0.7926746153641194,0.40540540540540543,36,False,8,False,0,3,False,False,False,False
legitimate,42,0,4.195539744052798,0.8312228517705365,0.6363636363636364,-1,False,6,False,0,2,False,False,False,True
legitimate,104,8,4.481455590414628,1.9214692850748376,0.5918367346938775,19,False,18,False,0,3,False,True,False,False
legitimate,56,0,4.344566583470219,0.7562159301445607,0.5666666666666667,-1,False,9,False,0,3,True,False,False,False
legitimate,43,8,4.286275219617123,2.04287391805526,0.3,34,False,9,False,0,4,False,True,False,False
legitimate,83,1,4.281211648465453,1.7075842017537204,0.5227272727272727,34,False,15,False,0,3,False,True,False,False
phishing,31,2,3.8488846166291193,2.5804746130596428,0.35294117647058826,19,False,6,False,0,1,False,False,False,False
legitimate,25,0,3.7532696895151076,1.9194343821482216,0.26666666666666666,-1,False,6,False,0,4,False,False,False,False
phishing,51,1,4.444401999165797,3.060938493903999,0.48148148148148145,35,False,10,False,0,1,False,False,False,False
legitimate,31,0,3.7843684875968617,1.6764926034347263,0.3157894736842105,-1,False,6,False,0,4,False,False,False,False
phishing,50,3,4.174177320667443,2.021262416074956,0.6956521739130435,39,False,8,False,0,2,False,False,False,False
phishing,34,0,4.0796786498829745,0.7236142072640073,0.22727272727272727,-1,False,7,False,0,3,False,False,False,False
legitimate,27,4,4.032303242743954,0.7617358154306321,0.3076923076923077,11,False,6,False,0,3,False,False,False,False
legitimate,63,0,4.075590044566195,2.2924457287433637,0.42857142857142855,-1,False,13,False,0,2,False,True,False,False
