status,shannon_entropy,abnormal_subdomains,first_digit_position,url_length,digit_count,subdomain_count,common_terms_count,special_chars_count,relative_entropy
legitimate,4.236508988556127,False,-1,57,0,0,3,8,1.048695735869633
phishing,3.671405583442497,False,14,26,2,0,2,6,1.4000729987451814
legitimate,4.399831947929027,False,41,123,6,0,3,24,1.566078811342966
legitimate,4.1416216087552495,False,22,37,1,0,2,5,1.3883097898659624
phishing,4.999064553237473,False,31,158,60,0,3,18,1.5726581140294789
legitimate,4.126950016748872,False,-1,44,0,0,3,7,1.0517535580227353
phishing,4.620237328690092,True,68,129,12,3,4,20,1.1178122325987816
legitimate,3.997188518009175,False,-1,44,0,0,3,6,0.95338709134741
legitimate,4.014438730983426,False,-1,35,0,0,3,7,1.9659438228969808
phishing,4.685717808842492,False,63,126,6,0,2,21,2.0937735285314405
phishing,3.881195107760606,False,38,46,2,0,2,12,1.1504038759041466
phishing,5.272339894654141,False,32,105,4,0,3,14,2.3916734688296075
phishing,4.942362251471632,False,32,155,62,0,3,19,1.6347520531570168
legitimate,3.8199578985571474,False,-1,42,0,1,3,10,1.7733470170980965
legitimate,4.432166821737537,False,-1,85,0,0,4,12,0.8093129413509881
phishing,4.593619578381066,False,32,82,20,0,4,14,1.7713604635523674
phishing,4.426177218751301,False,7,39,8,0,1,7,0.9639103214984188
legitimate,4.016735577283109,False,36,42,1,0,4,9,1.3794397441286657
legitimate,3.644247562960808,False,-1,32,0,0,4,6,1.1464696781903618
phishing,4.567364673065061,True,7,66,17,3,2,11,0.0
phishing,4.112826021500903,False,-1,46,0,0,1,7,0.8454166591722114
phishing,4.358459262490947,False,-1,62,0,0,2,11,0.7623058138716095
legitimate,4.209867121904034,False,-1,26,0,0,2,5,1.6328119611775629
legitimate,4.135299814773783,False,-1,48,0,0,2,9,1.1770991892267992
phishing,3.873140679513132,False,-1,26,0,0,2,7,1.7818265365934074
phishing,4.897720947970794,False,69,293,146,0,4,18,2.280303790535356
legitimate,3.833269689515107,False,18,25,2,0,3,6,1.291333138997684
legitimate,4.001822825622231,False,-1,23,0,0,1,5,1.4948354460893225
phishing,4.27117482363929,False,66,114,1,0,5,17,0.8653140505716213
phishing,4.4036519305121695,False,41,106,5,0,3,12,3.5544390434131383
legitimate,4.004344446367528,False,-1,27,0,0,2,7,1.6554678883817306
phishing,4.53597280037594,False,-1,92,0,0,3,14,0.8587937346145056
legitimate,4.123029870578661,False,-1,43,0,0,3,7,1.3451920464312923
phishing,4.765779440837205,False,33,84,21,0,2,10,1.5009778908098392
legitimate,4.404365892868156,False,26,63,7,0,3,11,2.709537032312176
legitimate,4.251703727741195,False,-1,71,0,0,2,10,1.0149112026505576
legitimate,4.282340283509331,False,-1,39,0,0,3,8,3.1069050731635324
phishing,3.7030407100708658,False,-1,33,0,0,2,7,1.6017742473085246
phishing,4.241152190424379,False,-1,57,0,0,3,11,1.6668836809503036
legitimate,4.107017709595357,False,-1,36,0,0,4,6,1.3878885649573791
legitimate,3.7806390622295662,False,-1,32,0,0,2,7,1.045169082294079
legitimate,4.066677073707229,False,-1,33,0,0,4,6,1.094135234179966
phishing,4.355394380822004,False,43,73,2,0,3,12,0.7657202973736026
legitimate,4.020843553362251,False,-1,38,0,0,4,6,0.8211638392257877
phishing,4.561748047693658,False,35,68,20,0,2,9,1.2378958481408344
phishing,4.845831026631984,True,63,127,20,2,4,18,1.1178122325987816
phishing,3.913909765557392,False,-1,32,0,0,2,7,1.0886759790766405
phishing,4.558652309443365,False,24,41,4,0,2,8,1.4373104906125709
phishing,4.397947169575876,False,65,71,1,0,2,10,1.3908219076768271
phishing,4.228438191111385,False,46,50,3,0,2,9,2.849423607239682
phishing,4.1852301329094015,False,10,29,1,0,2,6,3.790438452630849
phishing,3.9745047643853657,False,-1,45,0,0,1,5,1.2799264577580918
phishing,4.068957238806496,False,23,34,1,0,1,9,1.902566365807326
phishing,4.826637143341985,True,63,126,28,2,4,19,1.1178122325987816
legitimate,3.977916874693636,False,-1,31,0,0,2,6,1.751378352716848
phishing,4.2415272628521095,True,43,45,1,0,2,8,0.8108927438127786
legitimate,4.006071013101169,False,-1,33,0,0,3,6,1.125594208646899
legitimate,4.436006945330953,False,-1,35,0,0,3,7,0.950862566627336
phishing,4.295370222435671,False,55,65,8,0,3,10,1.1992196419674663
legitimate,4.186954489636055,False,-1,46,0,0,2,9,1.2654284423232909
legitimate,4.074195789878432,False,-1,43,0,0,3,6,0.95338709134741
